graph_id,source,generator,tier,num_nodes,num_edges,gen_params,layout_algorithm,layout_seed,graph_path,image_path,density,density_bucket
real_MUTAG_0001,real,MUTAG,small,17,19,{},graphviz_sfdp,1668452223,data/raw/real/MUTAG/real_MUTAG_0001.graphml,data/images/real_MUTAG_0001.png,0.13970588235294118,sparse
real_MUTAG_0002,real,MUTAG,small,13,14,{},graphviz_sfdp,3682427860,data/raw/real/MUTAG/real_MUTAG_0002.graphml,data/images/real_MUTAG_0002.png,0.1794871794871795,medium
real_MUTAG_0003,real,MUTAG,small,13,14,{},graphviz_sfdp,1856599604,data/raw/real/MUTAG/real_MUTAG_0003.graphml,data/images/real_MUTAG_0003.png,0.1794871794871795,medium
real_MUTAG_0004,real,MUTAG,small,19,22,{},graphviz_sfdp,3063613094,data/raw/real/MUTAG/real_MUTAG_0004.graphml,data/images/real_MUTAG_0004.png,0.1286549707602339,sparse
real_MUTAG_0005,real,MUTAG,small,11,11,{},graphviz_sfdp,3942951561,data/raw/real/MUTAG/real_MUTAG_0005.graphml,data/images/real_MUTAG_0005.png,0.2,medium
real_MUTAG_0006,real,MUTAG,medium,28,31,{},graphviz_sfdp,1618367978,data/raw/real/MUTAG/real_MUTAG_0006.graphml,data/images/real_MUTAG_0006.png,0.082010582010582,sparse
real_MUTAG_0007,real,MUTAG,small,16,17,{},graphviz_sfdp,501766538,data/raw/real/MUTAG/real_MUTAG_0007.graphml,data/images/real_MUTAG_0007.png,0.14166666666666666,sparse
real_MUTAG_0008,real,MUTAG,small,20,22,{},graphviz_sfdp,2321741713,data/raw/real/MUTAG/real_MUTAG_0008.graphml,data/images/real_MUTAG_0008.png,0.11578947368421053,sparse
real_MUTAG_0009,real,MUTAG,small,12,13,{},graphviz_sfdp,1052014299,data/raw/real/MUTAG/real_MUTAG_0009.graphml,data/images/real_MUTAG_0009.png,0.19696969696969696,medium
real_MUTAG_0010,real,MUTAG,small,17,19,{},graphviz_sfdp,3606746519,data/raw/real/MUTAG/real_MUTAG_0010.graphml,data/images/real_MUTAG_0010.png,0.13970588235294118,sparse
real_MUTAG_0011,real,MUTAG,small,17,19,{},graphviz_sfdp,3959861736,data/raw/real/MUTAG/real_MUTAG_0011.graphml,data/images/real_MUTAG_0011.png,0.13970588235294118,sparse
real_MUTAG_0012,real,MUTAG,small,20,23,{},graphviz_sfdp,3461213087,data/raw/real/MUTAG/real_MUTAG_0012.graphml,data/images/real_MUTAG_0012.png,0.12105263157894737,sparse
real_MUTAG_0013,real,MUTAG,small,22,25,{},graphviz_sfdp,2763506512,data/raw/real/MUTAG/real_MUTAG_0013.graphml,data/images/real_MUTAG_0013.png,0.10822510822510822,sparse
real_MUTAG_0014,real,MUTAG,small,13,14,{},graphviz_sfdp,3610745137,data/raw/real/MUTAG/real_MUTAG_0014.graphml,data/images/real_MUTAG_0014.png,0.1794871794871795,medium
real_MUTAG_0015,real,MUTAG,small,19,22,{},graphviz_sfdp,908495045,data/raw/real/MUTAG/real_MUTAG_0015.graphml,data/images/real_MUTAG_0015.png,0.1286549707602339,sparse
real_MUTAG_0016,real,MUTAG,small,22,25,{},graphviz_sfdp,3689515774,data/raw/real/MUTAG/real_MUTAG_0016.graphml,data/images/real_MUTAG_0016.png,0.10822510822510822,sparse
real_MUTAG_0017,real,MUTAG,small,11,11,{},graphviz_sfdp,961954994,data/raw/real/MUTAG/real_MUTAG_0017.graphml,data/images/real_MUTAG_0017.png,0.2,medium
real_MUTAG_0018,real,MUTAG,small,17,19,{},graphviz_sfdp,837998986,data/raw/real/MUTAG/real_MUTAG_0018.graphml,data/images/real_MUTAG_0018.png,0.13970588235294118,sparse
real_MUTAG_0019,real,MUTAG,small,13,14,{},graphviz_sfdp,3553670606,data/raw/real/MUTAG/real_MUTAG_0019.graphml,data/images/real_MUTAG_0019.png,0.1794871794871795,medium
real_MUTAG_0020,real,MUTAG,small,18,20,{},graphviz_sfdp,1881983865,data/raw/real/MUTAG/real_MUTAG_0020.graphml,data/images/real_MUTAG_0020.png,0.13071895424836602,sparse
real_MUTAG_0021,real,MUTAG,small,18,19,{},graphviz_sfdp,3877601310,data/raw/real/MUTAG/real_MUTAG_0021.graphml,data/images/real_MUTAG_0021.png,0.12418300653594772,sparse
real_MUTAG_0022,real,MUTAG,small,17,19,{},graphviz_sfdp,1575451599,data/raw/real/MUTAG/real_MUTAG_0022.graphml,data/images/real_MUTAG_0022.png,0.13970588235294118,sparse
real_MUTAG_0023,real,MUTAG,small,23,27,{},graphviz_sfdp,2645961677,data/raw/real/MUTAG/real_MUTAG_0023.graphml,data/images/real_MUTAG_0023.png,0.1067193675889328,sparse
real_MUTAG_0024,real,MUTAG,medium,27,33,{},graphviz_sfdp,460855851,data/raw/real/MUTAG/real_MUTAG_0024.graphml,data/images/real_MUTAG_0024.png,0.09401709401709402,sparse
real_MUTAG_0025,real,MUTAG,small,17,19,{},graphviz_sfdp,3101169149,data/raw/real/MUTAG/real_MUTAG_0025.graphml,data/images/real_MUTAG_0025.png,0.13970588235294118,sparse
real_MUTAG_0026,real,MUTAG,small,13,13,{},graphviz_sfdp,2345095364,data/raw/real/MUTAG/real_MUTAG_0026.graphml,data/images/real_MUTAG_0026.png,0.16666666666666666,medium
real_MUTAG_0027,real,MUTAG,small,23,27,{},graphviz_sfdp,512448250,data/raw/real/MUTAG/real_MUTAG_0027.graphml,data/images/real_MUTAG_0027.png,0.1067193675889328,sparse
